ID,Category,Question,Option1,Option2,Option3,Option4,Answer,Hint
q_3601,"Networking","Which term is related to computer networking?","Monitor","Printer","DNS","Keyboard","DNS","It relates to connectivity or web addresses."
q_3602,"Databases","In a database, what does the term 'Primary Key' refer to?","A web browser","A hardware port","A network protocol","A database structural element","A database structural element","Tables, records, keys and queries are database elements."
q_3603,"Operating Systems","Which utility software is essential for system maintenance?","Photoshop","Antivirus","Chrome","MS Word","Antivirus","Think about managing resources and maintenance."
q_3604,"Health/Security","Which of the following is a cyber security threat?","Antivirus","Firewall","Backup","Worm","Worm","Threats are malicious software or attacks."
q_3605,"Logic Gates","Which logic gate performs a Boolean logic operation?","NAND","USB","SSD","BIOS","NAND","Logic gates operate on TRUE/FALSE values."
q_3606,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","Data Entry","Deployment","Gaming","Deployment","It is a step in building software."
q_3607,"Operating Systems","Which utility software is essential for system maintenance?","Photoshop","Chrome","MS Word","Disk Formatting","Disk Formatting","Think about managing resources and maintenance."
q_3608,"Health/Security","Which of the following is a cyber security threat?","Backup","Antivirus","Hacking","Firewall","Hacking","Threats are malicious software or attacks."
q_3609,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Computer Crimes Act No. 24 of 2007","Forest Act","Housing Act","Traffic Act","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_3610,"Logic Gates","Which logic gate performs a Boolean logic operation?","BIOS","OR","SSD","USB","OR","Logic gates operate on TRUE/FALSE values."
q_3611,"Operating Systems","Which utility software is essential for system maintenance?","File Compression","MS Word","Photoshop","Chrome","File Compression","Think about managing resources and maintenance."
q_3612,"Health/Security","Which of the following is a cyber security threat?","Spam","Firewall","Backup","Antivirus","Spam","Threats are malicious software or attacks."
q_3613,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Data Entry","Printing","Gaming","Implementation/Coding","Implementation/Coding","It is a step in building software."
q_3614,"Databases","In a database, what does the term 'Form' refer to?","A database structural element","A network protocol","A hardware port","A web browser","A database structural element","Tables, records, keys and queries are database elements."
q_3615,"Networking","Which term is related to computer networking?","Monitor","Keyboard","Printer","Cloud Computing","Cloud Computing","It relates to connectivity or web addresses."
q_3616,"Operating Systems","What is a primary function of an Operating System?","Emailing","Process Management","Photo Editing","Web Browsing","Process Management","Think about managing resources and maintenance."
q_3617,"Operating Systems","Which utility software is essential for system maintenance?","Chrome","File Compression","MS Word","Photoshop","File Compression","Think about managing resources and maintenance."
q_3618,"Health/Security","Which of the following is a cyber security threat?","Antivirus","Firewall","Backup","Trojan Horse","Trojan Horse","Threats are malicious software or attacks."
q_3619,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","WiFi","Char","System32","Login","Char","It is part of Pascal language keywords."
q_3620,"Data Representation","Which storage unit is valid and commonly used?","Hertz","Volt","Byte","Pixel","Byte","Think about file sizes (KB, MB, GB)."
q_3621,"Operating Systems","What is a primary function of an Operating System?","Web Browsing","Process Management","Photo Editing","Emailing","Process Management","Think about managing resources and maintenance."
q_3622,"Web Development","Which HTML tag is used to create a table?","{code}","<table>","[link]","<invalid>","<table>","HTML tags start with < and end with >."
q_3623,"Web Development","Which HTML tag is used to create a table?","{code}","<table>","[link]","<invalid>","<table>","HTML tags start with < and end with >."
q_3624,"Networking","Which term is related to computer networking?","URL","Keyboard","Monitor","Printer","URL","It relates to connectivity or web addresses."
q_3625,"Networking","Which term is related to computer networking?","DNS","Printer","Keyboard","Monitor","DNS","It relates to connectivity or web addresses."
q_3626,"Health/Security","Which of the following is a cyber security threat?","Firewall","Hacking","Backup","Antivirus","Hacking","Threats are malicious software or attacks."
q_3627,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Testing & Debugging","Gaming","Data Entry","Printing","Testing & Debugging","It is a step in building software."
q_3628,"Networking","Which term is related to computer networking?","URL","Printer","Keyboard","Monitor","URL","It relates to connectivity or web addresses."
q_3629,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","Deployment","Data Entry","Gaming","Deployment","It is a step in building software."
q_3630,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","Login","Begin","WiFi","System32","Begin","It is part of Pascal language keywords."
q_3631,"Web Development","Which HTML tag is used to insert a line break?","{code}","<invalid>","<br>","[link]","<br>","HTML tags start with < and end with >."
q_3632,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","WiFi","System32","Begin","Login","Begin","It is part of Pascal language keywords."
q_3633,"Hardware","Select the device used to send data INTO the computer:","Multimedia Projector","OCR Device","Speaker","Plotter","OCR Device","Input devices send data INTO the computer."
q_3634,"Networking","Which term is related to computer networking?","Printer","DNS","Monitor","Keyboard","DNS","It relates to connectivity or web addresses."
q_3635,"Programming (Pascal)","Identify the valid Pascal keyword from the options:","End","Login","System32","WiFi","End","It is part of Pascal language keywords."
q_3636,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Intellectual Property Act","Forest Act","Traffic Act","Housing Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_3637,"Logic Gates","Which logic gate performs a Boolean logic operation?","BIOS","NOR","USB","SSD","NOR","Logic gates operate on TRUE/FALSE values."
q_3638,"Hardware","Find the Input Device from the list below:","Speaker","Plotter","Plotter","Mouse","Mouse","Input devices send data INTO the computer."
q_3639,"ICT Applications","Which of the following is a common application of ICT in modern society?","Binary Logic","Robotics in Industry","Pascal Syntax","CPU Architecture","Robotics in Industry","Think about how technology helps society."
q_3640,"ICT Applications","Which of the following is a common application of ICT in modern society?","E-Learning","Binary Logic","Pascal Syntax","CPU Architecture","E-Learning","Think about how technology helps society."
q_3641,"Networking","Which term is related to computer networking?","Printer","Monitor","URL","Keyboard","URL","It relates to connectivity or web addresses."
q_3642,"Operating Systems","Which utility software is essential for system maintenance?","Photoshop","Chrome","MS Word","Antivirus","Antivirus","Think about managing resources and maintenance."
q_3643,"Data Representation","Which standard is used for character encoding?","TCP/IP","HTML","HTTP","BCD","BCD","It maps characters to numbers."
q_3644,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Deployment","Gaming","Data Entry","Printing","Deployment","It is a step in building software."
q_3645,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Requirement Identification","Data Entry","Printing","Gaming","Requirement Identification","It is a step in building software."
q_3646,"Databases","In a database, what does the term 'Field' refer to?","A network protocol","A web browser","A database structural element","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_3647,"Operating Systems","What is a primary function of an Operating System?","Emailing","File Management","Photo Editing","Web Browsing","File Management","Think about managing resources and maintenance."
q_3648,"Databases","In a database, what does the term 'Primary Key' refer to?","A network protocol","A database structural element","A hardware port","A web browser","A database structural element","Tables, records, keys and queries are database elements."
q_3649,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Computer Crimes Act No. 24 of 2007","Traffic Act","Housing Act","Forest Act","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_3650,"Health/Security","Which of the following is a cyber security threat?","Spam","Backup","Firewall","Antivirus","Spam","Threats are malicious software or attacks."
q_3651,"Networking","Which term is related to computer networking?","Printer","TCP/IP","Keyboard","Monitor","TCP/IP","It relates to connectivity or web addresses."
q_3652,"Databases","In a database, what does the term 'Table' refer to?","A web browser","A hardware port","A network protocol","A database structural element","A database structural element","Tables, records, keys and queries are database elements."
q_3653,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Housing Act","Traffic Act","Intellectual Property Act","Forest Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_3654,"Operating Systems","What is a primary function of an Operating System?","Web Browsing","Photo Editing","Emailing","Device Management","Device Management","Think about managing resources and maintenance."
q_3655,"Databases","In a database, what does the term 'Report' refer to?","A database structural element","A network protocol","A web browser","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_3656,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Maintenance","Printing","Data Entry","Maintenance","It is a step in building software."
q_3657,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Intellectual Property Act","Housing Act","Traffic Act","Forest Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_3658,"ICT Applications","Which of the following is a common application of ICT in modern society?","Binary Logic","Pascal Syntax","Online Banking","CPU Architecture","Online Banking","Think about how technology helps society."
q_3659,"Data Representation","Which standard is used for character encoding?","HTML","HTTP","TCP/IP","Unicode","Unicode","It maps characters to numbers."
q_3660,"Web Development","Which HTML tag is used to insert a line break?","{code}","[link]","<invalid>","<br>","<br>","HTML tags start with < and end with >."
q_3661,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","Login","System32","WiFi","While..Do","While..Do","It is part of Pascal language keywords."
q_3662,"Web Development","Which HTML tag is used to define a large heading?","[link]","<h1>","{code}","<invalid>","<h1>","HTML tags start with < and end with >."
q_3663,"Databases","In a database, what does the term 'Form' refer to?","A hardware port","A database structural element","A web browser","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_3664,"Web Development","Which HTML tag is used to define a large heading?","<invalid>","<h1>","{code}","[link]","<h1>","HTML tags start with < and end with >."
q_3665,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Intellectual Property Act","Housing Act","Traffic Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_3666,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","Data Entry","Maintenance","Gaming","Maintenance","It is a step in building software."
q_3667,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Traffic Act","Housing Act","Forest Act","Computer Crimes Act No. 24 of 2007","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_3668,"ICT Applications","The term 'ATM' is associated with which field?","Data Representation","ICT Applications","Networking","Logic Gates","ICT Applications","Think about how technology helps society."
q_3669,"Hardware","Which generation of computers is associated with Vacuum Tubes (1st Gen)?","Integrated Circuits (3rd Gen)","Microprocessors (4th Gen)","Vacuum Tubes (1st Gen)","Transistors (2nd Gen)","Vacuum Tubes (1st Gen)","Input devices send data INTO the computer."
q_3670,"Databases","In a database, what does the term 'Report' refer to?","A network protocol","A hardware port","A database structural element","A web browser","A database structural element","Tables, records, keys and queries are database elements."
q_3671,"Health/Security","Which of the following is a cyber security threat?","Backup","Spam","Firewall","Antivirus","Spam","Threats are malicious software or attacks."
q_3672,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","System32","For..Do","WiFi","Login","For..Do","It is part of Pascal language keywords."
q_3673,"Data Representation","Which storage unit is valid and commonly used?","Bit","Pixel","Hertz","Volt","Bit","Think about file sizes (KB, MB, GB)."
q_3674,"Web Development","Which HTML tag is used to create a hyperlink?","[link]","<a>","{code}","<invalid>","<a>","HTML tags start with < and end with >."
q_3675,"Hardware","Find the Input Device from the list below:","Plotter","Speaker","Speaker","Microphone","Microphone","Input devices send data INTO the computer."
q_3676,"Logic Gates","Which logic gate performs a Boolean logic operation?","BIOS","SSD","NOT","USB","NOT","Logic gates operate on TRUE/FALSE values."
q_3677,"Operating Systems","What is a primary function of an Operating System?","Photo Editing","Emailing","User Interface","Web Browsing","User Interface","Think about managing resources and maintenance."
q_3678,"Data Representation","Which storage unit is valid and commonly used?","Bit","Pixel","Hertz","Volt","Bit","Think about file sizes (KB, MB, GB)."
q_3679,"Logic Gates","Which logic gate performs a Boolean logic operation?","BIOS","USB","SSD","OR","OR","Logic gates operate on TRUE/FALSE values."
q_3680,"Networking","Which term is related to computer networking?","Printer","Keyboard","DNS","Monitor","DNS","It relates to connectivity or web addresses."
q_3681,"ICT Applications","The term 'ATM' is associated with which field?","Networking","Logic Gates","ICT Applications","Data Representation","ICT Applications","Think about how technology helps society."
q_3682,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","System32","While..Do","Login","WiFi","While..Do","It is part of Pascal language keywords."
q_3683,"Hardware","Which of the following is classified as an Input Device?","Plotter","Speaker","Microphone","Plotter","Microphone","Input devices send data INTO the computer."
q_3684,"Data Representation","Which storage unit is valid and commonly used?","Gigabyte (GB)","Volt","Pixel","Hertz","Gigabyte (GB)","Think about file sizes (KB, MB, GB)."
q_3685,"Databases","In a database, what does the term 'Primary Key' refer to?","A hardware port","A web browser","A database structural element","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_3686,"Web Development","Which HTML tag is used to define the root of an HTML document?","<html>","[link]","{code}","<invalid>","<html>","HTML tags start with < and end with >."
q_3687,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Traffic Act","Electronic Transactions Act","Housing Act","Electronic Transactions Act","Look for Computer/Electronic/Intellectual Property laws."
q_3688,"Databases","In a database, what does the term 'Form' refer to?","A web browser","A network protocol","A hardware port","A database structural element","A database structural element","Tables, records, keys and queries are database elements."
q_3689,"Networking","Which term is related to computer networking?","Printer","Monitor","TCP/IP","Keyboard","TCP/IP","It relates to connectivity or web addresses."
q_3690,"Web Development","Which HTML tag is used to define a large heading?","<h1>","[link]","<invalid>","{code}","<h1>","HTML tags start with < and end with >."
q_3691,"Logic Gates","Which logic gate performs a Boolean logic operation?","NOT","SSD","BIOS","USB","NOT","Logic gates operate on TRUE/FALSE values."
q_3692,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","Begin","WiFi","System32","Login","Begin","It is part of Pascal language keywords."
q_3693,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Housing Act","Forest Act","Traffic Act","Computer Crimes Act No. 24 of 2007","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_3694,"Hardware","Which generation of computers is associated with Transistors (2nd Gen)?","Integrated Circuits (3rd Gen)","Microprocessors (4th Gen)","Transistors (2nd Gen)","Vacuum Tubes (1st Gen)","Transistors (2nd Gen)","Input devices send data INTO the computer."
q_3695,"Operating Systems","What is a primary function of an Operating System?","Emailing","Web Browsing","Memory Management","Photo Editing","Memory Management","Think about managing resources and maintenance."
q_3696,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Housing Act","Traffic Act","Forest Act","Computer Crimes Act No. 24 of 2007","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_3697,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Housing Act","Traffic Act","Computer Crimes Act No. 24 of 2007","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_3698,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Traffic Act","Forest Act","Electronic Transactions Act","Housing Act","Electronic Transactions Act","Look for Computer/Electronic/Intellectual Property laws."
q_3699,"Networking","Which term is related to computer networking?","Keyboard","Printer","Monitor","URL","URL","It relates to connectivity or web addresses."
q_3700,"Hardware","Select the device used to send data INTO the computer:","Plotter","Plotter","OCR Device","Speaker","OCR Device","Input devices send data INTO the computer."
q_3701,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Traffic Act","Intellectual Property Act","Housing Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_3702,"Databases","In a database, what does the term 'Report' refer to?","A web browser","A network protocol","A database structural element","A hardware port","A database structural element","Tables, records, keys and queries are database elements."
q_3703,"ICT Applications","The term 'E-Learning' is associated with which field?","Logic Gates","Data Representation","Networking","ICT Applications","ICT Applications","Think about how technology helps society."
q_3704,"Web Development","Which HTML tag is used to define the root of an HTML document?","[link]","{code}","<html>","<invalid>","<html>","HTML tags start with < and end with >."
q_3705,"Web Development","Which HTML tag is used to create a hyperlink?","<invalid>","{code}","<a>","[link]","<a>","HTML tags start with < and end with >."
q_3706,"Data Representation","Which storage unit is valid and commonly used?","Hertz","Pixel","Volt","Byte","Byte","Think about file sizes (KB, MB, GB)."
q_3707,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Electronic Transactions Act","Forest Act","Housing Act","Traffic Act","Electronic Transactions Act","Look for Computer/Electronic/Intellectual Property laws."
q_3708,"ICT Applications","Which of the following is a common application of ICT in modern society?","CPU Architecture","E-Learning","Pascal Syntax","Binary Logic","E-Learning","Think about how technology helps society."
q_3709,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","WiFi","Login","Repeat..Until","System32","Repeat..Until","It is part of Pascal language keywords."
q_3710,"Logic Gates","Which logic gate performs a Boolean logic operation?","NOR","BIOS","SSD","USB","NOR","Logic gates operate on TRUE/FALSE values."
q_3711,"Web Development","Which HTML tag is used to create a table?","{code}","<table>","[link]","<invalid>","<table>","HTML tags start with < and end with >."
q_3712,"Operating Systems","What is a primary function of an Operating System?","Emailing","Process Management","Web Browsing","Photo Editing","Process Management","Think about managing resources and maintenance."
q_3713,"Logic Gates","Which logic gate performs a Boolean logic operation?","USB","NOR","SSD","BIOS","NOR","Logic gates operate on TRUE/FALSE values."
q_3714,"Networking","Which term is related to computer networking?","IP Address","Keyboard","Monitor","Printer","IP Address","It relates to connectivity or web addresses."
q_3715,"Databases","In a database, what does the term 'Table' refer to?","A network protocol","A hardware port","A database structural element","A web browser","A database structural element","Tables, records, keys and queries are database elements."
q_3716,"ICT Applications","Which of the following is a common application of ICT in modern society?","Pascal Syntax","Smart Agriculture","Binary Logic","CPU Architecture","Smart Agriculture","Think about how technology helps society."
q_3717,"Health/Security","Which of the following is a cyber security threat?","Backup","Firewall","Software Piracy","Antivirus","Software Piracy","Threats are malicious software or attacks."
q_3718,"Web Development","Which HTML tag is used to create a table?","<invalid>","<table>","{code}","[link]","<table>","HTML tags start with < and end with >."
q_3719,"Data Representation","Which standard is used for character encoding?","HTTP","ASCII","TCP/IP","HTML","ASCII","It maps characters to numbers."
q_3720,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Printing","Data Entry","System Design","Gaming","System Design","It is a step in building software."
q_3721,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Forest Act","Intellectual Property Act","Housing Act","Traffic Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_3722,"Databases","In a database, what does the term 'Query' refer to?","A web browser","A hardware port","A network protocol","A database structural element","A database structural element","Tables, records, keys and queries are database elements."
q_3723,"Data Representation","Which storage unit is valid and commonly used?","Hertz","Pixel","Volt","Terabyte (TB)","Terabyte (TB)","Think about file sizes (KB, MB, GB)."
q_3724,"Health/Security","Which of the following is a cyber security threat?","Firewall","Antivirus","Spam","Backup","Spam","Threats are malicious software or attacks."
q_3725,"Logic Gates","Which logic gate performs a Boolean logic operation?","SSD","BIOS","AND","USB","AND","Logic gates operate on TRUE/FALSE values."
q_3726,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Traffic Act","Housing Act","Intellectual Property Act","Forest Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_3727,"Logic Gates","Which logic gate performs a Boolean logic operation?","BIOS","AND","USB","SSD","AND","Logic gates operate on TRUE/FALSE values."
q_3728,"Operating Systems","Which utility software is essential for system maintenance?","Disk Defragmenter","Photoshop","MS Word","Chrome","Disk Defragmenter","Think about managing resources and maintenance."
q_3729,"Operating Systems","Which utility software is essential for system maintenance?","Disk Formatting","MS Word","Photoshop","Chrome","Disk Formatting","Think about managing resources and maintenance."
q_3730,"Web Development","Which HTML tag is used to define the document body?","<invalid>","{code}","[link]","<body>","<body>","HTML tags start with < and end with >."
q_3731,"Logic Gates","Which logic gate performs a Boolean logic operation?","OR","USB","SSD","BIOS","OR","Logic gates operate on TRUE/FALSE values."
q_3732,"Data Representation","Which standard is used for character encoding?","BCD","TCP/IP","HTML","HTTP","BCD","It maps characters to numbers."
q_3733,"Data Representation","Which storage unit is valid and commonly used?","Volt","Kilobyte (KB)","Pixel","Hertz","Kilobyte (KB)","Think about file sizes (KB, MB, GB)."
q_3734,"Hardware","Find the Input Device from the list below:","Speaker","Scanner","Inkjet Printer","Plotter","Scanner","Input devices send data INTO the computer."
q_3735,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Traffic Act","Housing Act","Computer Crimes Act No. 24 of 2007","Forest Act","Computer Crimes Act No. 24 of 2007","Look for Computer/Electronic/Intellectual Property laws."
q_3736,"Databases","In a database, what does the term 'Table' refer to?","A network protocol","A web browser","A hardware port","A database structural element","A database structural element","Tables, records, keys and queries are database elements."
q_3737,"ICT Applications","The term 'Tele-medicine' is associated with which field?","Networking","ICT Applications","Data Representation","Logic Gates","ICT Applications","Think about how technology helps society."
q_3738,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Intellectual Property Act","Forest Act","Housing Act","Traffic Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_3739,"Networking","Which term is related to computer networking?","TCP/IP","Monitor","Printer","Keyboard","TCP/IP","It relates to connectivity or web addresses."
q_3740,"Hardware","Which of the following is classified as an Input Device?","Inkjet Printer","Speaker","Plotter","Barcode Reader","Barcode Reader","Input devices send data INTO the computer."
q_3741,"Databases","In a database, what does the term 'Form' refer to?","A database structural element","A web browser","A hardware port","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_3742,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Gaming","Printing","Deployment","Data Entry","Deployment","It is a step in building software."
q_3743,"Health/Security","Which of the following is a cyber security threat?","Antivirus","Firewall","Phishing","Backup","Phishing","Threats are malicious software or attacks."
q_3744,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Traffic Act","Intellectual Property Act","Forest Act","Housing Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_3745,"Networking","Which term is related to computer networking?","Printer","Keyboard","Monitor","DNS","DNS","It relates to connectivity or web addresses."
q_3746,"Health/Security","Which of the following is a cyber security threat?","Backup","Firewall","Phishing","Antivirus","Phishing","Threats are malicious software or attacks."
q_3747,"Databases","In a database, what does the term 'Primary Key' refer to?","A network protocol","A database structural element","A hardware port","A web browser","A database structural element","Tables, records, keys and queries are database elements."
q_3748,"Operating Systems","What is a primary function of an Operating System?","Photo Editing","File Management","Web Browsing","Emailing","File Management","Think about managing resources and maintenance."
q_3749,"Data Representation","Which standard is used for character encoding?","TCP/IP","HTTP","HTML","Unicode","Unicode","It maps characters to numbers."
q_3750,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Traffic Act","Housing Act","Electronic Transactions Act","Forest Act","Electronic Transactions Act","Look for Computer/Electronic/Intellectual Property laws."
q_3751,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Housing Act","Forest Act","Electronic Transactions Act","Traffic Act","Electronic Transactions Act","Look for Computer/Electronic/Intellectual Property laws."
q_3752,"Data Representation","Which storage unit is valid and commonly used?","Byte","Volt","Pixel","Hertz","Byte","Think about file sizes (KB, MB, GB)."
q_3753,"Hardware","Which generation of computers is associated with Microprocessors (4th Gen)?","Vacuum Tubes (1st Gen)","Microprocessors (4th Gen)","Transistors (2nd Gen)","Integrated Circuits (3rd Gen)","Microprocessors (4th Gen)","Input devices send data INTO the computer."
q_3754,"Health/Security","Which of the following is a cyber security threat?","Firewall","Trojan Horse","Antivirus","Backup","Trojan Horse","Threats are malicious software or attacks."
q_3755,"Networking","Which term is related to computer networking?","Printer","URL","Monitor","Keyboard","URL","It relates to connectivity or web addresses."
q_3756,"Hardware","Select the device used to send data INTO the computer:","Speaker","Inkjet Printer","Barcode Reader","Plotter","Barcode Reader","Input devices send data INTO the computer."
q_3757,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","Data Entry","Implementation/Coding","Gaming","Printing","Implementation/Coding","It is a step in building software."
q_3758,"Data Representation","Which storage unit is valid and commonly used?","Volt","Hertz","Pixel","Byte","Byte","Think about file sizes (KB, MB, GB)."
q_3759,"SDLC","Which of the following is a phase in the Systems Development Life Cycle?","System Design","Gaming","Printing","Data Entry","System Design","It is a step in building software."
q_3760,"Data Representation","Which standard is used for character encoding?","TCP/IP","HTTP","EBCDIC","HTML","EBCDIC","It maps characters to numbers."
q_3761,"Web Development","Which HTML tag is used to embed an image?","[link]","<invalid>","{code}","<img>","<img>","HTML tags start with < and end with >."
q_3762,"Operating Systems","What is a primary function of an Operating System?","Photo Editing","Web Browsing","Emailing","Process Management","Process Management","Think about managing resources and maintenance."
q_3763,"Logic Gates","Which logic gate performs a Boolean logic operation?","SSD","USB","BIOS","OR","OR","Logic gates operate on TRUE/FALSE values."
q_3764,"Operating Systems","Which utility software is essential for system maintenance?","Chrome","File Compression","MS Word","Photoshop","File Compression","Think about managing resources and maintenance."
q_3765,"Operating Systems","What is a primary function of an Operating System?","Web Browsing","User Interface","Emailing","Photo Editing","User Interface","Think about managing resources and maintenance."
q_3766,"Web Development","Which HTML tag is used to create a hyperlink?","<a>","<invalid>","[link]","{code}","<a>","HTML tags start with < and end with >."
q_3767,"Data Representation","Which standard is used for character encoding?","TCP/IP","BCD","HTTP","HTML","BCD","It maps characters to numbers."
q_3768,"Operating Systems","Which utility software is essential for system maintenance?","Photoshop","Chrome","MS Word","File Compression","File Compression","Think about managing resources and maintenance."
q_3769,"Logic Gates","Which logic gate performs a Boolean logic operation?","SSD","BIOS","USB","AND","AND","Logic gates operate on TRUE/FALSE values."
q_3770,"Health/Security","Which of the following is a cyber security threat?","Backup","Antivirus","Firewall","Spam","Spam","Threats are malicious software or attacks."
q_3771,"Legal/Ethical","Which Act in Sri Lanka governs aspects of ICT?","Housing Act","Traffic Act","Intellectual Property Act","Forest Act","Intellectual Property Act","Look for Computer/Electronic/Intellectual Property laws."
q_3772,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","WiFi","System32","Login","Program","Program","It is part of Pascal language keywords."
q_3773,"Hardware","Find the Input Device from the list below:","Speaker","Scanner","Speaker","Plotter","Scanner","Input devices send data INTO the computer."
q_3774,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","WiFi","System32","Login","Begin","Begin","It is part of Pascal language keywords."
q_3775,"Operating Systems","What is a primary function of an Operating System?","User Interface","Emailing","Photo Editing","Web Browsing","User Interface","Think about managing resources and maintenance."
q_3776,"Hardware","Which generation of computers is associated with Vacuum Tubes (1st Gen)?","Transistors (2nd Gen)","Integrated Circuits (3rd Gen)","Microprocessors (4th Gen)","Vacuum Tubes (1st Gen)","Vacuum Tubes (1st Gen)","Input devices send data INTO the computer."
q_3777,"Health/Security","Which of the following is a cyber security threat?","Worm","Antivirus","Backup","Firewall","Worm","Threats are malicious software or attacks."
q_3778,"Networking","Which term is related to computer networking?","Printer","Keyboard","Monitor","Client-Server","Client-Server","It relates to connectivity or web addresses."
q_3779,"Programming (Pascal)","Which of the following is a reserved keyword in Pascal?","Begin","Login","WiFi","System32","Begin","It is part of Pascal language keywords."
q_3780,"ICT Applications","The term 'E-Government' is associated with which field?","Logic Gates","Data Representation","ICT Applications","Networking","ICT Applications","Think about how technology helps society."
q_3781,"Hardware","Which generation of computers is associated with Transistors (2nd Gen)?","Transistors (2nd Gen)","Vacuum Tubes (1st Gen)","Microprocessors (4th Gen)","Integrated Circuits (3rd Gen)","Transistors (2nd Gen)","Input devices send data INTO the computer."
q_3782,"Databases","In a database, what does the term 'Record' refer to?","A hardware port","A database structural element","A network protocol","A web browser","A database structural element","Tables, records, keys and queries are database elements."
q_3783,"Programming (Pascal)","In Pascal syntax, which word has a special meaning?","WiFi","Login","Repeat..Until","System32","Repeat..Until","It is part of Pascal language keywords."
q_3784,"Networking","Which term is related to computer networking?","Monitor","Keyboard","URL","Printer","URL","It relates to connectivity or web addresses."
q_3785,"Databases","In a database, what does the term 'Primary Key' refer to?","A hardware port","A web browser","A database structural element","A network protocol","A database structural element","Tables, records, keys and queries are database elements."
q_3786,"Logic Gates","Which logic gate performs a Boolean logic operation?","SSD","USB","BIOS","OR","OR","Logic gates operate on TRUE/FALSE values."
